Date 01/12/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Odisha,Punjab,Rajasthan,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.1,68,27,40,52.75,44.5,41.33,37.89,39.2,37,52,43.33,37.5,41,41.75,38.82,53.92,48,38.56,47.68,38.67,48.14,41.44,40.15,37.67,57.16,55,35,39.53,35,41.17
Unit:(Rs./Kg.),Wheat,32.45,58,25,30,41.75,45,40.17,29.63,35.8,30,39.5,36.33,29,25,34,33.18,42.65,,30.14,40.11,44,41,38.63,29.85,29,44.88,39.5,,28.88,26,31
,Atta (Wheat),37.6,65,29,35,45.5,43,40.33,35.63,41.4,35,47,38.67,32.5,36.45,41.5,37.09,44,,34.6,44.63,43,47.43,42.33,35.15,32.67,54.16,45,44,34.16,37,40.08
,Gram Dal,94.53,142,76,90,101.75,106.75,95.4,90.53,102.6,97,104,91.33,92,96,100.5,94.3,96.5,142,91.86,98.95,108,97.25,95.67,95.31,92,101.32,93,108,88.88,95,90.92
,Tur/Arhar Dal,158.94,184,117,160,169.75,174.5,158.67,157.37,160,158,168,159,163,162.55,162.5,158.36,155.46,,154.37,167.32,178,160.75,155.67,165.92,163.67,169.68,160,165,151.26,165,165.83
,Urad Dal,124.43,160,85,120,132.5,129.25,108.36,123.68,119.4,138,150.5,131.67,113.5,133.91,128.75,124.18,130.54,152,117.63,129.16,133,142.5,118.67,133.08,124.33,137.26,124.5,130,118.69,115,124.17
,Moong Dal,114.42,150,87,120,121.75,118,115.73,112.16,119,118,125,120.67,114,114.55,125.5,113.55,116.04,130,108.56,120.84,124.33,135.4,113,115,113.67,120,112,115,109.24,115,116.17
,Masoor Dal,89.4,140,76,90,93.75,100.75,90.87,80.11,91.2,90,96,90.67,80,88.45,107.5,84.55,93.08,140,86.21,94.32,86.33,97.57,82.78,92.62,82.33,91.61,91,98,86.45,98,95.75
,Sugar,44.52,60,39,44,44.33,53.75,47.4,44.74,43.6,45,43,42.33,45,47.18,50.5,45.27,42.69,50,42.65,43.26,47.33,51.43,44.33,44.33,41.33,44.16,41.5,50,43.83,45,45.92
,Milk @,58.46,82,39,60,59.33,75.25,72.67,56.11,60.6,56,66,62,57.5,53.27,52.75,59.4,51.54,60,55.79,59.26,74,79.71,53.11,60.27,50.67,45.05,54.5,74,61.83,67,56.5
,Groundnut Oil (Packed),194.86,288,149,176,176,169,173,196.9,206.5,216,214.5,189.33,221,225.75,,205.25,185.77,,194.05,196,,174,212,233.91,172.67,211.42,167.5,,201.96,179,212.86
,Mustard Oil (Packed),171.29,212,132,165,173.33,175.5,169.67,168.95,164.4,178,191.5,181.67,161,188.91,189.25,173.91,176.85,187,165.49,182.56,166,176.17,180.33,169.69,144.33,187.14,173,165,163.66,157,170.5
,Vanaspati (Packed),145.93,181,98,143,140.67,133.67,148,148.89,141.6,167,173.5,137.67,140.5,160.45,158,149,133.46,,139.44,149.11,152,120.5,151.38,166.69,125.33,161.05,137,,143.05,157,145.17
,Soya Oil (Packed),145.76,194,106,137,159,144.5,146.4,150.42,143.8,161,152.5,143.33,142.5,149.3,156.5,155.45,142.73,,142.56,150.32,151,131,154.33,158.69,113,,110,157,142.86,142,140.25
,Sunflower Oil (Packed),154.02,211,108,157.5,160,169,154.75,159.76,149.4,163,162,145.67,146.5,151.75,166,167.7,152,,148.98,155.89,,154,156.67,160.45,138,157.37,144.5,,149.05,166,150.5
,Palm Oil (Packed),134.12,166,91,144,140.67,,118.22,136,134.2,141,127,146.67,119.5,114.5,140,130.45,133.62,,122.42,139.63,,126.75,134.75,142.6,106,143.95,125,154,125.05,,124.27
,Gur,54.68,130,39,50,58.67,83,61.4,47.68,53.2,60,65,54,54,50.09,51.75,50.82,51.69,80,49.67,54.89,78.5,109.71,53.56,50.75,42.67,58.89,53,65,51.66,57,55.17
,Tea Loose,263.59,520,154,210,291.33,355,251.8,270,218.6,245,300,210.67,239,275.36,321.5,251.64,237.92,480,229.67,308.42,317.33,486.14,271.29,270.83,321.67,285.82,287.5,250,236.53,280,256.92
,Salt Pack (Iodised),22.47,31,10,27,17,19.5,14.27,22,20.2,27,28,19.67,23,28,27.75,25.91,18.15,28,16.33,24.21,25,29.71,26.67,26.58,19.67,24.89,20.5,10,26.03,30,22.5
,Potato,36.86,70,24,40,43.33,39.25,34.2,32.63,41,37,38,40.67,31.5,37.91,39,37.45,41.36,45,33.35,42.42,41,50.14,39.89,35.25,37.67,50.22,34.5,40,31.18,35,31.5
,Onion,51.75,88,22,50,52.67,61.5,57.33,50.32,54.4,50,50.5,44.67,53.5,57,62.5,55,47.92,70,43.7,57.05,64.67,63.43,54.89,54.5,44,62.67,46.5,63,46.72,60,53.33
,Tomato,49.99,127,27,50,44,73,59.8,53.53,44.8,50,35.5,41.33,71.5,56.64,56.25,53.64,38.96,80,45.02,44.95,53.67,97.86,52.67,51.92,58.33,45.72,36.5,60,45.81,43,57.25
