Date 03/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telangana,Uttar Pradesh,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.53,66,29,40,53.67,42.67,41.5,38,44,41.5,40,47.67,43,37,41,42.5,39,53.86,38.25,48.37,37.67,50,40.73,65,39.25,38,57.3,59,39.54,42.58
Unit:(Rs./Kg.),Wheat,32.12,58,24,29,42.67,45,38.83,29.36,31,37.25,30,39.33,37,29,24,34.25,32.45,42.71,29.6,40,41.67,42.14,37.6,48,26.75,29.25,44.94,39,28.07,30.6
,Atta (Wheat),37.22,66,28,35,46,40.67,39.43,35,36,40,34,44.67,38.5,32.5,35.64,40,36.27,44.39,34.3,44.42,40,48.5,41.91,45,32.42,33,54.15,39,33.82,39.58
,Gram Dal,95.12,115,73,90,106.67,104,96.14,89.43,90,99,100,99.33,90,92,98.91,95.5,94,96.04,93.07,99.84,109.33,97.8,98.36,93,100.33,95.75,102.6,91,89.74,89.67
,Tur/Arhar Dal,161.02,191,128,160,170,179.33,170.5,156.64,165,160,163,161.67,167.5,163,166.91,156,160.18,159.68,157.1,166.05,176.5,158.6,155.82,182,167.58,167,169.75,159,154.02,163.17
,Urad Dal,125.47,160,85,125,132.33,127.67,111.33,124.43,125,119,143,142.33,131.5,113.5,133.55,127,123.45,131.61,119.1,130.21,133,132.83,119.36,149,131.75,125.75,137.75,126,121.07,123.33
,Moong Dal,115.62,140,87,120,119.67,121,117.29,112.86,116,118.5,123,125.33,119,113.5,115.82,124.25,111.82,118.64,109.78,120,121,133.6,113.82,115,116.83,114.75,120.85,109,112.37,116
,Masoor Dal,89.49,124,75,90,91,101.67,91.64,81.07,90,86.75,90,92.33,89,80,88.09,108.75,83,92.75,86.88,93.47,86.67,97.88,82,93,92.33,85,91.65,92,88.04,95
,Sugar,44.74,60,39,45,44.33,51.67,47.36,44.86,45,44,45,44,42.5,44.5,46.91,51.5,45.3,42.82,42.88,43.68,48.67,52.25,45.09,48,44.75,41.75,44.35,39,44.16,46.58
,Milk @,58.32,83,39,60,59.33,73.67,72.57,56.36,60,61,56,65.67,61.5,57.5,53.18,54.5,59.44,50.93,55.48,59.21,74.33,80.38,53.09,48,60.17,52.75,46.35,52,61.95,57.5
,Groundnut Oil (Packed),195,257,141,193.75,180,,171,201.17,183,206,216,217.33,186,221,225.75,,201.63,181.79,192.56,197.37,,172,199,233,231.5,176.75,217.85,158,200.85,220.4
,Mustard Oil (Packed),167.58,209,131,165,169.67,169,167.14,155.64,139,169,178,190.33,178,161,185.55,183,171.82,171.07,163.49,181.89,156,179,176.82,148,169.17,144.75,186.08,169,162.59,169.18
,Vanaspati (Packed),140.48,176,97,140,138.67,120,141.63,137.57,124,133.75,161,159.67,138.5,136,155.64,152.5,142.64,125.33,136.59,146.74,152,126.5,137.64,145,159.33,126.5,150.79,130,139.95,141.58
,Soya Oil (Packed),140.55,171,92,137,133,137.33,139.62,137.79,119,135.75,156,151.67,138,137.5,145.56,148,144,135.82,138.27,145.68,147,135.75,149,,150.83,120,,109,140.21,134.92
,Sunflower Oil (Packed),144.08,211,105,148,157.33,170,151.3,151.54,120,141.5,156,160.67,142.5,146.5,150.75,156.75,156,138.75,143.6,151.47,,148.5,146.36,126,155,142,146.9,136,147.27,144.64
,Palm Oil (Packed),125.1,167,91,137,136.33,,117.63,119.91,100,137.75,134,122.33,132,116,114.5,132.67,121.09,121.93,117.12,134.38,,120.75,128.33,115,132.33,,133.25,127,121.24,119.6
,Gur,55.29,130,39,50,59,84.33,63.43,47.71,55,51,62,67,55,52.5,50,52,52.6,51.79,51.17,55.58,78.5,109.71,54,60,53.25,44.5,58.85,51,52,55.33
,Tea Loose,265.41,520,154,250,291.33,340,266.43,276.79,269,208.25,245,262.33,211,236.5,271.45,311.75,249,243.32,230.53,307,310,488.63,287.38,332,270.58,314,289,270,236.81,258.58
,Salt Pack (Iodised),22.6,30,10,27,20,19.33,14.07,22,28,19,27,27.33,20.5,23,27.91,28,25.7,18.14,15.93,24.16,25,29.75,26.73,26,26.25,19.75,24.45,20,26.3,23.5
,Potato,36.3,70,24,30,42,38,33.14,32.79,39,41.75,33,35,41.5,32,37.82,36,34.82,40.25,33.76,40.53,37.67,49.63,34.09,50,31.17,37.75,50.7,39,31.07,30.33
,Onion,53.11,80,31,55,51.67,56,63.14,50.79,52,55.25,60,66.5,51,58.5,61.82,62.25,54.36,45.46,48.32,50.05,68,62.88,54.36,60,58.33,47,60.45,49,49.54,56.67
,Tomato,57.07,135,23,60,40.67,71.33,64.21,57,60,50.75,58,63,44.5,86.5,68.18,76.75,71.45,41.82,53.71,53.16,52.33,97.63,56.27,48,58.5,62.25,45.45,45,56.49,66.25
