Date 03/12/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.66,68,27,40,51.67,53,44.5,41.92,37.89,44,37.88,37,50,39.13,39.33,41.08,45.38,38.94,54,49.45,49,38.45,47.84,37.7,49.9,43.47,39.95,65,40.4,42.04,49,58,56,38.5,39.32,38.5,44.09
Unit:(Rs./Kg.),Wheat,32,58,22,30,,42.75,45,37.08,29.24,31,35.13,30,40,35,29.33,25,33.5,32,42.75,46.8,,30,40.26,44.11,42.13,42.86,38.94,48,30.07,29.43,38.5,46.41,40.5,,28.77,26,30.9
,Atta (Wheat),37.15,70,29,35,67.33,46.25,43,39.8,35,36,38.5,35,47,36,35,36.5,40.38,36.76,44.56,45.58,43,34.69,44.42,43.1,48.6,49.27,43.32,47,35.47,33.79,39.33,55.03,44.1,43,34.13,36,40.27
,Gram Dal,94.37,142,70,90,115.67,98.5,106.75,95.44,89.24,90,97.38,97,105,93.75,92.67,96.08,98.5,91.63,95.22,113.36,127.5,91.86,97.53,110,98.71,99.33,93.8,102,95,88.79,100.83,101.35,89.8,101.25,88.23,94,90.77
,Tur/Arhar Dal,160.01,190,117,160,176.33,170.25,174.5,160.88,155.22,165,159.88,147,161.5,163.88,165,163.17,162.57,158.06,154.56,172.45,163,154.98,165.79,178.6,158.83,164.7,156.5,185,164.67,162.21,170,171.24,163.2,155,151.6,168,164.86
,Urad Dal,124.31,160,85,120,151.33,132.5,129.25,110.09,121.3,125,120.63,138,147.5,122.38,117.33,133.17,128,122.35,130.16,140.5,136,118.08,128.74,133,135.29,120.22,118.75,151,132.67,119.18,126.67,136.91,128.6,128.25,118.91,118.5,125.73
,Moong Dal,115.16,160,87,120,127.33,121.75,118,115.24,112.62,116,115.88,118,124,107.88,115.33,115.83,123.13,113.47,116.5,132.09,130,108.51,120.26,123.4,139.29,121.94,113.35,113,115.73,106.71,126.67,120.41,116.1,112,109.6,114.5,117.77
,Masoor Dal,89.97,160,73,90,100,93,100.75,91.2,80.51,90,90.88,90,95.5,86.63,86.33,87.83,104,81.71,93.03,102.27,130,86.31,93.21,87.9,98.3,97.81,82.45,98,93.33,86.54,94.17,92.77,92.7,103.75,86.45,96.5,97.82
,Sugar,44.9,60,35,44,53,44,53.75,47.52,44.62,45,43.75,45,42.5,43,44,47.17,50,45.29,42.84,43.42,55,42.63,43.32,49,52.5,50.27,45.05,49,44.13,42.68,51.5,44.06,40.2,49.5,43.77,44.5,45.95
,Milk @,58.78,83,39,60,74,56.75,75.25,72.68,56.24,60,56.88,56,66,63.5,59,53.08,53.5,59,51.41,55,60,55.41,59.26,73.5,79.8,73.71,52.85,48,60.2,52.75,64.17,47.56,58.5,74.25,61.91,66.5,56.14
