Date 06/12/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.5,68,27,40,52,53,44.5,41.65,37.83,37.38,38,50,58.5,39.57,39,41.08,48.17,38.76,50.78,49.62,50,38.4,47.68,37.7,49.36,43.36,38.9,65,40.6,42,46.5,58,55.7,39,39.31,38.5,44.52
Unit:(Rs./Kg.),Wheat,32.09,58,22,30,,43.25,45,37.42,29.34,33.38,30,40,50,35.14,29.67,25,33.2,32.06,42.63,46.73,,30.23,40.11,44.22,42.13,43.33,39.2,48,30.13,29.5,38.5,46.44,40.7,,28.8,26,30.44
,Atta (Wheat),37.15,70,29,35,67.33,46.25,43.25,39.65,35.14,38.88,35,47.5,46,36,33,36.5,39.17,36.76,44.22,47.21,,34.75,44.37,43,48.27,50.29,43.5,47,35.47,33.6,39.33,55,44,43.75,34.13,36,40.05
,Gram Dal,94.47,140,70,90,114,94.8,106.75,95.17,89,97.38,97,105,115,93,90.33,96,97.33,91.56,94.81,113.85,140,92.15,97,109.33,101.38,101.55,92.57,109,94.4,89.13,100.83,101.35,89.4,106.75,88.16,94,91.33
,Tur/Arhar Dal,159.94,193,116,160,175.67,169,175,160.78,155.09,158.75,147,161.5,167.5,161.29,162.67,163.08,160.6,157.94,153.38,174.64,,155.96,165.53,178,157.57,164.22,156.86,185,164.47,162.13,170,171.38,162.6,154.75,151.25,168,164.33
,Urad Dal,124.56,167,85,120,152,130.8,129.5,111.23,121.51,118.38,138,144.5,156.5,118.14,115.67,133.17,128.5,122.06,129.06,142.75,150,118.4,128.79,133,135.29,122.13,118.25,151,133.4,119.9,126.67,137.06,128.6,131.75,118.63,118.5,125.24
,Moong Dal,114.88,160,87,120,126.67,121.6,117.5,114.7,112.94,115,118,124,133.5,107.71,113,115.75,120.83,112.94,113.88,132.62,130,108.71,119.58,122.7,139.63,122.27,112.71,115,115.07,107.07,126.67,120.18,116,112.25,108.93,114.5,117.48
,Masoor Dal,89.72,168,74,90,100,92.6,100,88.65,80.34,93.13,90,96,102.5,86.71,83.33,87.75,103.67,81.29,92.34,102.92,140,86.38,93.05,87.9,98.45,97.67,82.33,100,92.93,86.73,94.17,92.8,92.6,104.25,86.37,96,96.24
,Sugar,44.76,60,37,44,53.67,43.75,53.75,47.22,44.51,43.25,45,43,44.5,43,43.67,47.17,50,45.29,42.56,43.46,50,42.65,43.16,49,52.18,49.93,44.81,50,43.93,42.77,51.5,44.09,39.9,49.75,43.76,44.5,45.95
,Milk @,58.77,83,39,60,74.33,56.75,75.25,72.75,56.63,59.25,56,66,59,63.86,57,53.08,55.67,59,51.31,54.77,60,55.33,59.21,73.5,78.91,73.23,53.14,48,60.07,52.72,64.17,47.56,58.2,75.5,61.87,66.5,56
