Date 07/12/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.08,65,27,40,51.67,53,44.5,41.6,37.86,44,38.13,38,50,39.29,39,41.08,45.5,38.88,50.42,49.5,50,38.29,47.68,38.25,50.56,43.62,38.88,40.53,39,46.5,57.15,55.8,39,39.54,38,42.69
Unit:(Rs./Kg.),Wheat,32.35,58,22,30,,43.5,45,37.15,29.19,31,35,30,40,35,29.67,25,33.5,32.06,42.71,46.5,,29.87,40.11,44.71,42.43,42,39.18,30.07,29.71,38.5,46.16,40.7,,28.75,29,31
,Atta (Wheat),37.46,70,29,35,67.33,46.5,43.25,39.96,35.11,36,38.5,35,47.5,35.57,33,36.5,40.38,36.76,44.35,47.15,43,34.8,44.32,43.5,49,50.31,43.3,35.47,33.43,39.33,54.7,44,43.75,34.01,35,40.13
,Gram Dal,94.51,140,70,90,113.33,95.4,106.75,95.56,89.19,90,97.38,97,105,94.29,90.33,96,98.63,91.69,94.45,114.5,128.5,92.07,96.89,109,102.5,101.3,92.7,94.6,88.71,100.83,100.74,89.4,107,88.33,94,89.25
,Tur/Arhar Dal,159.39,193,116,160,175.67,169,175,160.96,155.14,165,160,147,161.5,162.14,162.67,163.08,162.71,157.88,152.77,174.23,173,155.47,165.21,176.67,157.17,160,156.42,164.73,165.57,170,170.56,162.6,156,151.22,164.33,164.06
,Urad Dal,124.29,167,85,120,152,131,129.5,110.61,121.22,125,120.75,138,144.5,118.29,115.67,133.17,127.63,122.18,128.65,141.36,136.5,119.04,128.79,133,136.67,119.57,118,133.13,120.29,126.67,136.74,128.6,131.75,118.59,122.67,125
,Moong Dal,114.91,150,87,120,126.67,121.8,117.5,115.04,112.62,116,115.63,118,124,106.43,113,115.75,122.5,112.94,113.45,132.17,130,108.93,119.58,123.13,141.67,119.5,112.96,114.93,107.86,126.67,119.41,116,112,108.86,116.67,116
,Masoor Dal,89.58,168,74,90,100,93,100,88.92,80.59,90,90.88,90,96,85.86,83.33,87.75,103.63,81.12,92.1,103.25,135,86.2,93.11,87.38,98.89,97.5,82.63,93.07,83,94.17,92.08,92.5,103.75,86.23,104.33,94.63
,Sugar,44.89,60,35,44,53.67,44,53.75,47.52,44.57,45,43.86,45,43,43.14,44,47.17,49.75,45.24,42.48,43.42,55,42.41,43.21,48.88,53,48.86,44.58,43.93,41.57,51.5,44.22,39.9,49.75,43.86,44.67,46.19
,Milk @,59.09,85,39,60,74,56.75,75.25,72.86,56.51,60,56.29,56,66,64,57,53.08,53.5,59,51.23,54.67,60,55.68,59.21,73.88,79.56,73.33,53.26,60,50.71,64.17,47.52,58.2,75.5,62.01,63.33,56.88
,Groundnut Oil (Packed),194.19,275,132,198,251.5,175,169,206.57,198.5,183,200.14,216,211.5,189.57,218.67,226.75,,198.69,186.55,226.33,,194.2,195.21,,152.5,,203.8,233.31,177,,210.37,167.6,,199.5,178,198.86
,Mustard Oil (Packed),170.34,221,124,181,180.33,176.75,175.5,170.52,166.89,139,161.88,178,194,176.14,162.33,188,189.57,170.71,174.84,203,192.5,165.22,182.78,162.88,184.29,156.93,180.58,170.53,144.43,188.67,189.2,164.7,180.5,162.77,159,168.13
,Vanaspati (Packed),146.34,209,92,143,164.33,135.25,133.67,147.79,143.53,124,133.25,167,176.5,137.29,147.67,163.58,160.88,147.88,131.87,179,180,142.13,149.32,157,142,156,149.48,167.67,123.86,140.83,162.26,114.78,158,141.88,152.67,141.88
,Soya Oil (Packed),144.44,198,102,143,,142,144.5,147.38,146.95,119,138.25,161,154,144.14,142.67,149.64,155.63,148.24,139.71,144,194,142.8,150.26,155.75,147.22,159.07,151.29,157.33,124.86,151.5,,117.13,165,141.87,145,137.63
,Sunflower Oil (Packed),153.16,253,108,165,141.67,155.75,169,150.89,156.97,120,144.13,163,166,143.29,155.33,151.75,166.4,160.8,149.94,166.75,,149.02,156.53,253,147.67,171.5,155.63,161.54,135.8,166.5,158.15,141.1,172.33,148.69,155.33,149.13
,Palm Oil (Packed),133.58,166,91,144,128,137.75,,122.44,127.56,100,130.71,143,130.5,132.67,123.67,116,133,126.94,129.83,154.11,,123.37,140.19,,120.6,146,141.75,140.33,106,,144.78,127.6,152.67,123.34,149,124.27
,Gur,55.25,130,37,50,74.33,58.75,83.25,61.8,48,55,50.29,60,65,55.29,51,50.08,52.88,50.29,52.16,62.82,70,49.45,54.95,79.67,108.38,76.67,52.63,50.6,43.43,61,58,52.3,70.25,51.77,57.33,53.88
,Tea Loose,269.72,520,154,240,309,303.75,360,243.84,277.33,269,219.14,245,304,208.71,248.67,271.5,315.25,247.82,242.29,232.82,480,232.25,308.37,349.38,495.89,318.58,280.42,274.2,309.83,378.33,287.14,284,227,237.68,276.67,264.63
,Salt Pack (Iodised),22.1,31,10,27,19.33,18.75,19.5,13.12,23.54,28,19,27,28.5,18.29,24,28.08,27.88,25.06,18.03,14.92,28,16.64,24.26,19.5,30,18.21,25.88,26.8,19.67,21.33,24.93,19.6,10.25,26.03,28.67,23.44
,Potato,38,70,24,40,59.33,43.33,39.25,35.28,33.11,39,38.5,35,38,37.57,33.67,37.33,39,38.24,39.65,50.83,42.5,33.93,42.47,41.88,51.11,41.64,39.21,35.07,37.14,42.17,52.15,36.3,41.25,31.58,42.33,31.88
,Onion,53.26,100,28,50,90.33,58,68.25,57.56,49.14,52,53.13,52,42.5,44.86,47,58.75,61.5,51.06,43.9,72.58,70,42.98,53.89,66.75,67,73.57,53.17,52.4,47.29,65.83,64.67,45.6,61.25,46.45,59.33,52.38
,Tomato,53.06,120,21,50,102.67,38.67,79,62.38,53.62,60,42.13,52,42,45.43,56,62.17,60.63,52.82,36.58,60.33,80,43.82,44.47,61.25,85.75,76.07,53.63,55.73,53.14,66.67,59.41,40.1,63.75,46.36,49,57.56
