Date 08/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.9,68,29,40,51.67,53.5,46,41.8,37.44,44,39.67,40,51.5,54.5,38.6,39,41,45,38.5,53.75,49.36,48.5,38.02,48.21,51,37,49.91,43,39.43,65,39.93,42.1,49.33,58,56.3,37.75,39.5,38,42.81
Unit:(Rs./Kg.),Wheat,31.98,58,22,28,,42.5,45,36.38,29.44,31,35,30,40,50,34,29.67,24,33.33,31.57,42.63,46.83,,30.11,39.84,49,42.75,42.13,42.57,38,48,27.2,29.61,38.83,45.93,40.6,,28.44,26.33,31.14
,Atta (Wheat),37.02,70,29,35,69,45,43.67,39.24,34.75,36,38.83,34,46.5,45,36.2,33,36,39.14,35.93,44.66,46.29,46,34.57,44.63,49,41.56,48.27,49.27,42.71,47,33.07,33.61,39.33,54.81,44.4,40.25,33.85,37,39.25
,Gram Dal,95.69,145,70,90,111,101,106.67,95.32,88.63,90,97.17,100,100.5,106.5,92.6,93.67,99.17,97.14,91.38,95.03,111.77,131.5,93.15,99.58,113,110.17,101.13,101.82,99.76,102,99.13,89.65,97,102.97,91.4,99.67,89.23,91.33,90.44
,Tur/Arhar Dal,162.12,196,124,160,175.67,168.75,180,167.92,155.38,165,160.67,163,169,166.5,166.6,167.33,165.58,163.67,158.79,157.91,176.38,173,156.74,166.63,178,178.6,156.14,166.78,157.9,185,168.8,162.97,170,171.65,163.4,165,153.5,167.67,163.94
,Urad Dal,125.43,172,85,120,163,131.25,123.33,111.96,121.94,125,118.83,143,146.5,155,126.8,117.33,133.92,127.29,120.21,130.81,143.25,141,119.25,129.26,140,133,135.29,123.38,120.15,149,131.07,120.03,124.33,137.23,128.6,129,120.68,117.67,125.38
,Moong Dal,116.3,160,90,120,136.67,121.5,116.67,115.8,111.56,116,116,123,127.5,131.5,115.2,117.67,117.33,122.29,112,118.63,131.92,128.5,110.15,120.37,128,122,139.13,121.4,113.71,113,116.8,107.32,126.67,121.29,115.8,112.5,112.15,116.33,115.63
,Masoor Dal,90.6,160,74,90,103.33,93.25,103.33,91.2,79.75,90,90.17,90,94,100.5,85.2,85.33,87.42,104.71,80.57,93.31,102,131.5,86.92,93.79,93,87.56,98.73,98.13,83,98,93.27,86.71,95.83,91.89,93.3,108,87.73,96.33,94.25
,Sugar,45.03,60,34,44,53.33,44,55,47.08,44.81,45,44.17,45,43,44,42.8,44.33,47.17,50.14,45.69,43.06,44,55,42.7,43.68,54,49.33,51.82,50.14,45.24,48,44.6,42.81,51.5,44.19,40.3,49.75,43.97,43.67,46.25
,Milk @,58.8,83,39,60,73.67,56.75,75.67,72.09,55.38,60,58.5,56,66,59,63.2,57,52.92,54.29,58.83,51.28,54.36,60,56.04,59.16,,73.56,78.73,72.25,53.38,48,60,52.6,64.17,47.52,58.1,74.25,61.93,63.67,56
,Groundnut Oil (Packed),195.69,275,132,183,237,179.25,169,202.25,184.86,183,204.4,216,214,241,191.2,219,225.75,,199.3,184.75,235.33,,194.69,197.32,,,152,,192.83,258,233,187.6,,215.17,169.1,,199.04,172.33,207.71
,Mustard Oil (Packed),168.23,221,124,165,167,176.5,179,169.52,155.67,139,166.33,178,187.5,184,177.6,161.67,185.5,187.67,168.93,170.63,193.1,175,163.23,184.17,181,163.78,180.44,153.23,180.67,164,169.53,152.52,187.83,186.71,163,178.5,161.28,161.67,167.69
,Vanaspati (Packed),142.09,209,92,143,163.67,135.25,137,144.5,133.25,124,130.33,163,165,162,142.4,142.33,156.33,157.14,144.07,128.16,168.08,168,138.5,148.05,154,157,134.43,152.33,143.71,161,163.6,129.77,140.83,154.37,112.22,139,139.45,142,139.25
,Soya Oil (Packed),140.37,194,92,148,,136,146.67,143.08,135.75,119,136.17,158,148,168.5,142.2,142.33,145.8,148.86,144.43,136.22,146,194,140.96,147.21,154,152,131.55,154.85,137.78,,153.67,131.76,154.17,,114.38,146.75,138.88,140.33,135.31
,Sunflower Oil (Packed),146.51,220,105,152,136,152.25,161.5,147.67,151.47,120,142.33,159,161.5,158.5,146,148,150.75,158.67,157.5,141.44,156.43,,146.04,152.68,,186,147.2,171.5,148.48,135,158.92,140.86,167.5,149.73,136.1,169,147.36,155,143.27
,Palm Oil (Packed),127.95,170,91,142,121.33,132.75,,121.44,117.64,100,128.33,133,122.5,137,134.75,122,114.5,132.4,122.57,123.06,149.08,,118.67,135.5,154,125,121.43,,132.5,121,135.5,111.63,,138.17,124.1,130.67,118.96,93,120.93
,Gur,55.69,130,36,50,75.67,59.5,86.67,61,47.5,55,50.33,63,64,59,55.4,53.33,50,54.14,50.31,52.06,61.69,70,50.09,56.11,84,78.4,106.8,76,53.9,60,51.87,45.26,61,58.61,53.5,71.75,51.88,58,53.69
,Tea Loose,271.18,520,154,300,310,299.25,340,242.32,276,269,211.17,245,300,322.5,207.4,248,268.17,308.57,246.62,243.91,234.55,480,229.47,306.89,235,368.89,490.82,314,286.59,335,273.6,294.11,401.67,285.52,284.78,227.75,238.43,267.33,261.38
,Salt Pack (Iodised),21.84,30,9,27,20,19.5,20,13.08,22.19,28,19.33,27,27.5,25.5,19.2,24,27.83,27.71,25.23,17.94,15.07,28,16.52,24.16,25,19.11,29.82,17.64,25.95,26,26.53,19.72,21.33,24.52,20.1,11,26.08,27.67,23.56
,Potato,37.69,71,23,40,70.33,43.25,39,34.21,32.06,39,40,33,40,50.5,38.6,33,37.83,36.57,35.71,40.91,51.93,45,34.19,40.68,43,38.56,48.64,39.79,33.48,50,32,37.23,40.83,51.77,37,39,31.32,34,30.81
,Onion,57.14,90,30,60,81.67,54,62.67,63.38,50.06,52,54.83,62,71,59.5,56.2,58,67.5,65,53.21,45.84,77.85,70,49.81,52.74,72,72.56,65.45,71.14,59.81,60,62.13,49.58,73.33,66.77,47.3,69,50.73,57,60.38
,Tomato,55.35,140,17,50,126.67,43.25,73,62.35,56,60,43.67,55,63,53,45.6,77,59.92,64,65.93,39.25,39.38,80,51.85,50.68,98,61.56,99.73,76,52.71,45,53.53,56.84,72.5,38.32,45.7,69.25,52.78,52.67,65.38
