Date 08/12/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telangana,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,42.8,65,27,40,53,44.5,41.75,37.73,44,38.4,38,50.5,43.33,39,40.8,43.67,38.22,50.3,50,38.38,47.79,38.67,49.3,40.64,65,40.5,39.4,57.24,57,39.29,35,42.07
Unit:(Rs./Kg.),Wheat,32.49,58,25,30,43.5,45,40.33,29.77,31,34.4,30,40.5,37,29,25,34.33,33.44,42.81,,29.95,40.21,44.33,42.43,37.75,48,30.07,30.4,45.53,39.5,28.87,26,31
,Atta (Wheat),37.6,65,29,35,46.5,43.25,40.38,35.27,36,39.8,35,47,39,33,35.8,41.67,37,44.19,,34.64,44.32,43,48.1,42.85,47,35.43,34.2,55.41,44,34.24,37,40.57
,Gram Dal,93.8,140,73,90,95.4,106.75,95.75,90.09,90,98.6,97,104.5,90.67,98,95.4,98,93.75,95.93,140,91.64,96.79,107.67,103,93,109,94.64,93.4,99.94,93.5,88.69,95,89.93
,Tur/Arhar Dal,158.19,185,116,160,169,175,159.06,156.95,165,161,147,161,155,161,162.1,157.67,156.44,153.89,,154.38,165.32,175,157.17,156.93,185,164.36,165.8,169.18,159,151.32,165,163.43
,Urad Dal,123.95,160,85,120,131,129.5,108.8,123.23,125,121,138,145.5,120,112,133.4,127.33,122.11,128.7,150,118.55,128.79,133,134.5,118.57,151,132.86,124.8,135.94,123.5,119.06,115,124.93
,Moong Dal,113.7,150,87,115,121.8,117.5,115.88,112.36,116,116.6,118,122.5,110,112,115.1,122.33,111.22,113.26,130,108.67,119.42,121,139.57,113.29,115,114.57,111,118.53,112,108.92,115,114.57
,Masoor Dal,88.8,140,76,90,93,100,88.63,80.27,90,91.4,90,100,90.67,80,87,107.67,82.11,91.37,140,86.1,93.05,87,98.8,82.36,100,92.79,85.8,90,91.5,86.53,98,94.29
,Sugar,44.53,60,39,44,44,53.75,47.44,44.45,45,44,45,43.5,42.33,45,47.2,50.33,45.33,42.59,50,42.48,43.21,47.67,52.4,44.57,50,43.93,42,44.06,40.5,43.77,45,46.43
,Milk @,58.61,82,39,60,56.75,75.25,72.75,56.68,60,59.6,56,66,63,59,53.7,55,59,50.74,60,55.36,59.21,74,78.9,53.43,48,60.5,51.6,46.53,55,61.76,67,56.5
,Groundnut Oil (Packed),194.3,253,132,193.67,175,169,173,194,183,204,216,213.5,188.67,220,226.75,,210.83,187,,194.12,195.26,,132,192,247,232.25,177.4,209.82,161.5,201.02,179,198.83
,Mustard Oil (Packed),170.66,212,132,181,176.75,175.5,167.94,168.27,139,164.8,178,195,180.33,169,188.9,193,174.44,176.37,187,163.48,182.78,166.67,180.25,181.43,137,169.64,147,189.18,180,162.31,157,168.14
,Vanaspati (Packed),145.33,186,98,143,135.25,133.67,146.45,146.19,124,133,167,177.5,136.33,158,161.1,165.67,147.78,133.15,,140.17,149.42,152,132.5,150.14,146,167.29,125.6,166.82,133.5,141.44,157,142.86
,Soya Oil (Packed),144.97,191,102,137,142,144.5,146.31,148.95,119,140.6,161,158,144,156,149.8,165,152.67,141,,141.19,150.26,155.33,140.6,150.75,,156.86,133.8,,115,142.08,142,139.5
,Sunflower Oil (Packed),153.37,211,108,159,155.75,169,154.75,160,120,147,163,166,148,151,151.75,173.5,166.75,151.33,,147.41,156.53,,143,157.79,135,161.75,143.6,158.65,145,149.61,166,150.79
,Palm Oil (Packed),133.53,166,91,144,137.75,,118.22,130.82,100,134.2,143,131,146.67,135,116,140,128.56,132.46,,121.72,140.13,,117,141,121,139.64,106,145.29,125,123.82,,126.31
,Gur,54.74,130,39,50,58.75,83.75,61.56,48.18,55,52.2,60,65,53.33,51,49.6,54,51.11,52.33,80,49,54.89,81,108,54.57,61,50.5,47,57.41,51.5,51.45,57,53.71
,Tea Loose,266.79,520,154,210,303.75,355,253.81,272.23,269,217,245,307.5,210.67,243,254.9,323.33,255.78,238.19,480,231.62,308.37,325.67,488.6,284.09,345,271.71,307.6,285.31,287,236.29,280,261.14
,Salt Pack (Iodised),22.8,31,10,27,18.75,19.5,14.44,23.23,28,19.2,27,28.5,19.67,26,28.2,27.67,25.22,18.11,28,16.33,24.26,25,29.8,26.36,26,26.64,19.8,26.29,20.5,25.9,30,23.36
,Potato,36.97,62,24,40,43.25,39.25,35.19,33.68,39,39.2,35,39,41.33,36,37.1,40,34.78,39.85,45,33.57,42.47,40,48.5,39.14,61,35.21,37.6,52.59,34.5,31.44,39,31.79
,Onion,50.93,87,28,50,53.5,68.25,57,49.5,52,55.2,52,35,44.33,52,57.2,60.67,51.78,44.3,70,42.4,54.26,61.67,66.8,53.36,62,52.79,47.4,65.24,44.5,46.31,60,52.64
,Tomato,50.41,100,21,50,37,79,60.81,52.91,60,40.4,52,45,42,58,60.9,62,52.78,36.33,80,43.14,44.84,65.67,86,52.21,52,55.21,53.8,58.82,33.5,45.71,43,56.93
