Date 09/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.27,68,29,40,51.67,53.5,42.67,41.77,38.09,44,39.67,40,51.5,38.38,39.33,41,44.13,39.24,53.66,48.5,38.12,48.21,37.44,49.5,43,41,39.93,39.89,49.33,58,56.5,37.75,39.41,38.5,42.88
Unit:(Rs./Kg.),Wheat,31.94,58,22,28,,42.5,,37.8,29.09,31,35,30,40,34.63,29.67,24,33.33,31.41,42.69,,30.17,39.89,42.75,43,42.57,38.13,27.21,29.56,38.83,45.97,40.25,,28.49,26.5,30.88
,Atta (Wheat),37.11,70,29,35,69,45,42.67,39.68,34.88,36,38.83,34,46.5,35.88,33,36,39.75,35.94,43.97,46,34.67,44.63,41.67,45.83,49.4,42.6,33.07,33.33,39.33,54.81,46,40.25,33.81,37,39.18
,Gram Dal,94.91,145,70,90,111,101,107.67,96.55,87.91,90,97.17,100,100,93.5,93.33,99.17,97.5,92.88,95.41,131.5,92.65,99.58,110.2,97.25,101.82,101.1,98.93,88.89,97,102.97,88.75,99.67,89.15,93.5,90.12
,Tur/Arhar Dal,161.61,198,124,160,176,168.75,179.33,169.09,155.36,165,160.67,163,167.5,166.63,167.33,165.58,168.86,160,157.93,180,156.55,166.68,177.5,158.6,166.78,158.2,168.29,166.44,170,171.74,164,165,153.55,167.5,163.65
,Urad Dal,124.98,170,85,120,163,131.25,125,111.3,122.3,125,118.67,143,145,123.13,117.33,133.92,127.25,121.94,130.79,141,118.74,129.21,135,139.4,123.38,119.8,131.57,122.78,124.33,137.26,127.25,129,120.63,119,125.24
,Moong Dal,116.12,160,87,120,137.33,121.5,116.67,117,113.48,116,115.83,123,127.5,111.38,117.67,117.33,122.13,113.35,118.34,130,110.07,120.37,123.11,135.4,121.4,113.8,116.64,110.78,126.67,121.29,115.75,112.5,111.92,115.5,115.76
,Masoor Dal,90.08,140,74,90,103.33,93.25,97.67,91.68,80.88,90,90.17,90,93,86.38,85.67,87.42,104.5,82.59,93.45,131.5,87.12,93.79,87.56,97.17,98.13,83.1,93,85.33,95.83,91.89,93,108,87.79,96.5,94.41
,Sugar,45.11,60,37,44,53.33,44,53.33,47.32,44.64,45,44.17,45,43,43,44.67,47.17,49.88,45.44,43.03,55,42.69,43.74,49.44,50.5,49.27,45.8,44.71,42.11,51.5,44.19,40.5,49.75,44,44.5,46.12
,Milk @,59.14,83,39,60,73.67,56.75,76,72.67,55.88,60,58.5,56,66,63.25,57,52.92,53.5,59.25,51.41,60,55.52,59.26,73.56,80.5,72.85,53.2,60,50.89,64.17,47.52,57,74.25,61.83,66.5,55.76
,Groundnut Oil (Packed),194.89,262,141,198,237,179.25,169,198.2,192.31,183,204.4,216,213.5,187.75,219,225.75,,193.14,183.07,,194.05,197.47,,172,,190,234.67,176.89,,215.23,170.25,,198.68,186,206.63
,Mustard Oil (Packed),166.01,221,124,165,168,176.5,192.5,169.68,157.38,139,166.33,178,187,174.38,162,185.5,188.71,169.59,172.55,173.5,163.65,184.17,161.22,178,153.87,179.7,170.79,148.78,187.83,186.71,167,178.5,161,168.5,167.24
,Vanaspati (Packed),142.06,187,98,143,162.67,135.25,137,143.71,135.91,124,130.33,163,164.5,139.75,142.67,156.33,154.25,142.12,129.31,159,138.12,148.42,156.67,126.5,152.33,145.78,164.5,127.56,140.83,155.39,121,139,139.48,151.5,138.53
,Soya Oil (Packed),141.07,198,92,154,,136,143.33,142,138.21,119,136.17,158,148,140.5,142.33,145.8,148.75,142.24,136.97,194,141.16,147.42,150.78,129.17,157.4,151,154,127.38,154.17,,118,146.75,139.19,148,134.88
,Sunflower Oil (Packed),146.56,220,105,153,136,153,166.5,150.38,151.25,120,142.33,159,161.5,142.5,148,150.75,159,151.8,142.17,,146.64,152.79,220,148.5,171.5,147.9,157.42,140.83,167.5,150.87,135.5,169,147.45,161.5,143
,Palm Oil (Packed),126.98,167,91,110,121.33,133.75,,116.23,118.38,100,128.33,133,122.5,128.29,122,114.5,132.4,121.94,124.17,,117.11,135.5,100,120.75,146,132.89,138.55,106,,139,124,130.67,118.84,,120.25
,Gur,55.32,130,38,50,75.67,59.5,77.67,61.82,47.58,55,50.33,62,63,55.63,54,50,53.5,51.69,51.41,70,50.52,56.21,78,111.33,77.33,53.7,51.93,45,61,58.55,53.5,71.75,51.96,60.5,53.41
,Tea Loose,268.13,520,154,243.33,310,299.25,360,247.36,278.56,269,211.33,245,293.5,209.63,249.67,268.17,313.38,248.56,239.79,480,229.14,307.11,354.78,479.33,315.36,268.13,273.57,304.38,401.67,285.65,288,227.75,238.36,286,261.65
,Salt Pack (Iodised),22.16,30,9,27,20,19.5,19.33,13.23,23.12,28,19.33,27,28,18.75,23.67,27.83,27.75,25.13,17.93,28,16.28,24.21,19,29.67,17.8,26.7,26.5,19.13,21.33,24.52,19.25,11,26.09,28,23.47
,Potato,36.98,71,25,40,68,43.25,37.33,34.64,32.64,39,40,33,39,38.63,32.67,37.83,36.88,35,40.62,45,34.7,40.68,38.78,49.17,39.8,34.7,32,35.67,40.83,51.58,38.75,39,31.32,33.5,31.06
,Onion,57.07,90,28,60,81.67,53.75,64,63.86,50.27,52,54.83,63,59.5,57.13,58,67.5,64.63,55.18,46.62,70,50.16,52.74,72.22,61.17,70.6,60,63.36,50.44,75,67.35,49.75,69,51.36,60.5,60.29
,Tomato,55.55,140,17,60,125.67,40.75,78.33,62,56.82,60,44.17,53,51.5,54,75.67,59.58,66,69.35,38.72,80,52.65,50.47,57.22,97.83,75.6,50.7,53.86,56.11,72.5,35.68,45.25,67,52.85,53,63.59
