Date 10/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Uttar Pradesh,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.24,66,29,40,53.67,44.5,41.19,37.63,44,38.25,40,51.5,42.33,37,40.91,42,39.6,54.46,48,37.83,48.21,37.5,49.63,41.25,65,39.75,38.6,50,56.65,59,39.57,42.23
Unit:(Rs./Kg.),Wheat,31.98,58,24,28,43.33,45,39.43,29.79,31,33,30,40,36,29,24,33.33,33.3,42.64,,30,39.89,40,43.33,37.83,48,27.42,30,40,44.87,39,28.21,30.83
,Atta (Wheat),37.1,65,29,35,47,43,39.81,34.74,36,37.75,34,46.5,38.33,32.5,35.82,39.33,36.8,44.89,,34.64,44.63,39,47.63,41.38,47,33.17,33.4,38,54.59,39,33.79,39.31
,Gram Dal,94.86,143,73,90,106.67,105.5,96,88.42,90,98,100,100,90,92,99.18,99,95.11,95.57,143,92.45,99.58,110,98.17,100.88,102,98.67,94.8,95,102.94,91,89.66,88.85
,Tur/Arhar Dal,160.71,189,124,160,168.33,179.5,168.88,156.47,165,160,163,167.5,168,163,165.27,145,160.7,158.21,,156.05,166.53,176.5,158.6,159.13,185,168.5,165,170,170.59,159,153.57,163.38
,Urad Dal,124.71,160,85,120,133,125.75,108.71,121.89,125,117,143,145,131,113.5,134,122,123.3,131.39,153,118.83,129.26,133,132.83,118.88,149,130.83,124,130,136.88,126,120.98,123.62
,Moong Dal,115.36,150,87,120,122,118.25,116.81,111.37,116,113.75,123,127.5,120,114,117.09,121.33,111.7,118.61,130,109.48,120.53,121.5,137.83,114.5,113,116.75,112,130,119.94,109,112.02,115.08
,Masoor Dal,89.58,140,76,90,93,101.25,91.69,80.21,90,90.5,90,93,88.33,80,88.09,105,83.9,94.14,140,87,93.89,85,97.88,83.5,98,92.75,83.2,90,88.5,92,87.81,94.69
,Sugar,44.7,60,39,44,44.33,53.75,47.13,44.79,45,44.5,45,43,42.33,44.5,47.09,51.33,45.33,43.14,50,42.67,43.63,48.5,51,45.5,48,44.58,41.6,50,44.24,39,44.14,46.15
,Milk @,58.46,83,39,60,59.33,75.25,72.69,55.63,60,60,56,66,62,57.5,53.18,55.33,59.38,51.32,60,55.69,58.95,74.5,80.13,53,48,60.33,52.8,60,46.94,52,61.43,56.54
,Groundnut Oil (Packed),195.07,258,141,176,179.67,169,173,185.44,183,208.67,216,213.5,189.33,221,225.75,,204,184.39,,192.98,197.47,,172,,258,233.36,176.6,,218.94,158,200.64,207.71
,Mustard Oil (Packed),166.55,212,130,165,173.33,179,169.25,156.39,139,163.75,178,187,181,161,186,188,172.2,173.39,185,163.17,184.17,164,172.17,179.38,164,169.5,143.8,160,185.9,169,162.07,166.46
,Vanaspati (Packed),141.99,187,97,143,141.33,131.33,143.73,136.47,124,123.5,163,164.5,137.67,138,156.45,159,141.7,130.46,,137.69,148.42,152,121.8,144.57,161,164.42,125,121,161.29,130,141.24,138.77
,Soya Oil (Packed),141.52,170,105,137,144,141.75,141.63,138.89,119,131.5,158,148,143.33,140,145.56,155.33,146.1,139.14,,140.62,147.47,150.5,130.13,151,,154.42,119,140,,109,140.66,134.77
,Sunflower Oil (Packed),147.36,211,105,151.33,159,166,150.92,151.39,120,142,159,161.5,145.67,146.5,150.75,159,157.56,143.54,,145.27,152.84,,148,146.88,135,157.2,138,,152,136,147.14,143.58
,Palm Oil (Packed),127.56,167,91,137,138,,116.11,121,100,127.25,133,122.5,137.5,118.5,114.5,132,123.2,125.36,,117.53,135.5,,124,130.29,121,138.78,106,,140.59,127,121.14,119.75
,Gur,54.59,127,39,50,61,83.25,62.31,48,55,49.5,62,63,54,53,50,49.67,52.89,51.39,80,50.48,56.11,77,106.33,54.88,60,51.75,44.2,60,57.47,51,51.84,55.46
,Tea Loose,264.87,520,154,230,292.33,355,252.13,271.53,269,219.5,245,293.5,210.67,236.5,271.73,322.33,250.33,242.14,480,229.71,306.95,310,488.63,272.29,335,270.83,312.2,460,282.38,270,235.98,258.15
,Salt Pack (Iodised),22.46,30,10,27,18.33,19.5,14.06,22.11,28,20.25,27,28,19.67,23,27.91,27.67,25.78,18.32,28,16.57,24.16,30,29.75,26.38,26,26.42,19.8,20,24.71,20,25.97,22.62
,Potato,36.36,70,23,30,44.33,39.5,34.31,32.68,39,39.75,33,39,39.67,32,38,35.33,36.1,40.82,45,34.12,40.5,39,48.38,34.13,50,32,37,40,50.59,39,31.12,30.92
,Onion,55.62,83,28,60,53,62,65,50.63,52,58.75,65,59,51.67,57,67,62.33,59.8,46.5,70,50,52.78,70,65.88,60.25,60,62.75,48.2,60,66.59,49,52.52,59.31
,Tomato,53.38,130,17,50,39,74.5,60.88,55.21,60,42,50,49,42.33,78.5,58.82,69,69.3,38.5,80,51.88,49.22,49.5,95,49.75,47,53.58,56.8,70,35.53,45,52.88,62.23
