,Date 14/08/2026
Rice,45.75
Broken Rice,33.37
Wheat,31.46
Atta (Wheat),37.17
Gram Dal,87.16
Tur/Arhar Dal,123.7
Urad Dal,122.4
Moong Dal,112.16
Masoor Dal,90.46
Sugar,51.16
Milk @,60.98
Groundnut Oil (Packed),206.75
Mustard Oil (Packed),197.95
Vanaspati (Packed),166.45
Soya Oil (Packed),164.83
Sunflower Oil (Packed),190.92
Palm Oil (Packed),148.85
Gur,60.98
Tea Loose,275.01
Salt Pack (Iodised),22.24
Potato,23.01
Onion,36.56
Tomato,38.75
Bajra (whole),38.54
Jowar (whole),44.9
Maida (wheat),42.53
Ragi (whole),55.48
Suji (whole),47.34
Besan,96.34
Desi Ghee,696.85
Butter (Pasteurised),60.2
Eggs,84.97
Brinjal,43.41
Black Pepper (whole),88.42
Coriander (whole),42.29
Cummin Seed (whole),41.06
Red Chillies (whole),30.11
Turmeric (powder),16.71
Banana,50.5
Ginger,37.34
Garlic,43.94
