Date 15/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.67,68,28,40,54.33,46,41.94,37.82,44,39.75,40,46,54,38.8,37,40.82,42.33,39.29,54.21,49.73,47,38.1,48,37.22,49.91,43.5,40.78,40.25,39.88,49,58.19,57.33,38,39.58,42.63
Unit:(Rs./Kg.),Wheat,31.84,58,22,28,43.33,45,38.43,29.36,31,35.25,30,45,51,34.4,29,24,34,32,42.41,46.89,,29.92,39.84,43.63,42.13,42.57,37.43,27.83,29.75,38.5,46.17,39,,28.44,30.5
,Atta (Wheat),37.01,70,29,35,45.67,43.67,39.81,34.85,36,39,34,55,47,36.2,32.5,36.27,42,36.07,44.45,45.09,,34.52,44.68,42.78,48.27,49.71,42.33,33.33,33.5,39.33,56.29,48,40.5,33.73,40.19
,Gram Dal,95.69,145,70,90,100.67,106.67,98,89.21,90,99.5,100,107,113,93.4,92,98.45,103,91.85,95.41,113.64,145,92.81,99.32,110.2,101.13,101.18,103.67,98.58,89.25,100.83,102.32,91.67,96,89.34,89.69
,Tur/Arhar Dal,161.39,193,123,160,168.67,180,168.88,155.15,165,161.25,167,189,172,163.6,163,167,162.67,159.21,157.69,175.91,,156.67,166.58,179.5,157.29,165.63,158.44,170.42,167,170,171.65,160.67,160,152.91,163.25
,Urad Dal,125.44,171,88,130,131.67,123.33,112.87,121.73,125,117,147,155,155,122.2,113.5,134.91,131.67,122.21,130.69,144.8,152,118.31,128.74,133,135.29,124.29,123.56,133.5,121.75,126.67,136.65,124,125,120.57,124.5
,Moong Dal,116.26,160,87,120,122.33,116.67,116.13,112.76,116,116.75,127,125,125,114,114,117.27,125,111.93,118.14,133,130,109.17,120.63,123.11,140.25,121.64,116.11,117.5,108.63,126.67,120.81,113.67,111.5,111.31,114.69
,Masoor Dal,90.3,160,74,90,94.33,103.33,91.44,80.42,90,90,90,98,98,87.6,80,87.82,115,81.07,93.83,104.45,140,86.79,94.16,88.89,98.45,98.21,85.56,93.92,84.13,93.33,92.63,91.67,102.5,87.7,94.88
,Sugar,44.93,60,35,44,44,57.5,47.64,44.96,45,43.25,45,44,44,43,45,47.18,49.33,45.21,43.17,44,50,42.7,43.63,49.38,51.82,48.38,44.89,44.67,42,51.8,44.2,39.33,51.5,43.98,46.13
,Milk @,58.6,83,39,60,57.67,76.5,73.07,56.14,60,60.25,56,64,62,62,57.5,51.55,53.67,58.85,51.48,55.45,60,55.51,59.05,73.88,78.73,74.18,53.56,59.33,50.75,64,47.43,58,73.5,61.42,55.94
,Groundnut Oil (Packed),195.68,275,132,198,176.67,169,204.25,188.3,183,204.8,216,231,236,189,222,225.75,,201.3,184.55,243.5,,193.6,198.11,,152,,198.67,238.3,176.75,,214.6,168.67,,198.1,210.71
,Mustard Oil (Packed),166.2,221,124,165,175,175,170.75,158.08,139,161.6,180,209,181,178.4,161,186.73,190.67,168.14,173.07,196.44,185,164.19,183.94,168.11,180.89,154.79,179.89,173.08,142.38,187.8,185.27,163.67,184,161.95,166.5
,Vanaspati (Packed),143.45,209,96,143,132,137,150.92,133.85,124,127.6,165,172,170,139.8,138,156,145.33,146.43,129.76,169.25,,138.63,149.22,157,134.43,154.67,151.63,167.92,123.75,140,156.8,120.67,139,141,138.13
