Date 24/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.16,68,27,40,54,44.5,41.23,37.68,44,38.25,38,52.5,43.33,37.5,41.18,39,38.56,54.08,47,38.27,47.89,39,50,39.86,40,38.4,45,57.28,55,39.64,35,42
Unit:(Rs./Kg.),Wheat,32.34,58,24,30,44.33,45,41.4,30.21,31,34.75,30,40,36.33,29,24,36.5,32.89,42.5,,30.35,39.79,43.5,42,37.33,29.31,29.8,38,45,39.5,28.71,26,30.67
,Atta (Wheat),37.49,65,29,35,49.33,43,40.31,35.58,36,39.75,35,47,38.67,32.5,36.18,42.5,36.89,44.08,,34.52,44.53,42.5,47.83,42.43,34.62,33.4,38,55.5,45,34.21,37,40.15
,Gram Dal,94.69,145,73,92.5,107,106.75,97.31,90.42,90,104.25,92,103,91.33,92,96.18,91,94.25,95.92,145,92.3,99.32,108.33,104.75,98.57,96.31,94.2,95,101.11,93,88.96,95,89.38
,Tur/Arhar Dal,159.89,189,117,160,172.33,178.75,166.38,154.74,165,158,153,169.5,163,163,162.36,169,158.22,157.27,,155.7,167.11,178,157.6,156.86,167.31,164.2,170,170,160,152.09,165,164.62
,Urad Dal,124.76,160,85,120,136,126.75,109.58,122,125,118.75,135,150.5,131.67,113.5,133.45,130,120.89,130.81,152,118.35,129.21,133,140,119.83,130.38,124.2,130,137.56,124.5,120.14,115,124.38
,Moong Dal,114.75,150,87,115,124.33,118,115.62,111.11,116,116.75,122,125,120.67,114,115.73,124,112.22,117.65,130,108.92,120.68,123.25,136,112.86,115.38,112,130,120.06,112,110.13,115,116.08
,Masoor Dal,89.48,140,75,90,96,100.75,91.08,79.89,90,89.25,90,96,90.33,80,88,108.5,83.78,94.08,140,86.53,94.16,88.25,98.83,84,92.54,83.2,90,90.8,91,86.86,98,95.85
,Sugar,44.63,60,39,45,44.67,53.75,47.69,44.84,45,43.75,45,43,42.33,44.5,47.09,50.5,45.33,42.88,50,42.67,43.58,49,53,44.14,44.85,41.6,50,44.22,41.5,43.89,45,46.31
,Milk @,58.57,85,39,60,59.33,75.25,72.77,56,60,62.75,56,66,62,57.5,53.27,49,59.38,51.85,60,55.73,59.26,74.25,79.17,53.57,60.23,52.4,60,47.33,54.5,61.93,67,56.69
,Groundnut Oil (Packed),196,272,143,187,176.67,169,173,195,183,213,216,214.5,189.33,221,225.75,,195.83,183.35,,195.72,196.58,,,212,234.18,177.8,,220.22,168.5,202.65,179,210.29
,Mustard Oil (Packed),169.42,212,131,176,174.33,175.5,173.46,168.53,139,167.5,178,191.5,181,161,188.27,184.5,172,173.96,185,166.28,182.5,166,181.8,178.71,170.92,143.8,165,183,174,162,157,166.92
,Vanaspati (Packed),145.43,188,98,143,139.33,133.67,148.44,150.32,124,138.5,167,170.5,137.67,140.5,158.36,156.5,145.33,132.31,,140.55,148.95,152,143,148.5,167.46,125,121,163.5,138,141.73,157,142.23
,Soya Oil (Packed),145.44,173,106,137,156,144.5,147.23,154.79,119,140.75,162,151.5,143.33,142.5,148.1,147.5,149.44,142.23,,143.93,150.16,149,139.17,154.33,157.69,126,140,,108,141.95,142,137.46
,Sunflower Oil (Packed),152,211,105,155,163,168.33,156.3,166,120,147,163,162,145.67,146.5,150.75,166,163.25,146.96,,149.51,155.16,,145,153.43,160.18,138,,156.61,145,148.04,166,149.31
,Palm Oil (Packed),131.84,166,91,148,141,,118.17,132.8,100,140,141,127,146.67,119.5,114.5,140,126.11,129.04,,119.22,139.06,,112.75,132.33,141.5,106,,144.89,125,122.82,,122.67
,Gur,54.41,130,37,50,59,83.25,61.92,47.21,55,53.5,60,65,54,53,49.55,51.5,51.67,51.62,80,50.23,55,78.5,108,53.86,51.08,44,60,57.28,53,51.56,57,54.92
,Tea Loose,264.56,520,154,219,291.33,360,253.54,269.26,269,222.75,245,300,210.67,236.5,274.45,326.5,252.22,239.08,480,228.18,308.32,323.25,485.5,270.57,271.54,312.2,460,282.29,287.5,237.38,280,259
,Salt Pack (Iodised),22.31,30,10,28,17.33,19.25,13.92,22.47,28,19.25,27,28,19.67,23,27.91,28,25.11,18.12,28,16.07,24.16,23,29.67,26.14,26.31,19.8,20,24.33,20.5,25.75,30,22.92
,Potato,36.14,61,20,32.5,42.67,40.5,33.62,32.11,39,40.5,33,41,38.67,31.5,38.27,38.5,34.33,40.81,45,33.17,41.84,39.5,48.33,33.71,32.15,37,40,50.39,33.5,30.75,35,31.54
,Onion,54.69,82,24,60,54.33,68.25,65.08,53.89,52,55.75,58,55.5,55.67,57,61.82,59,57.78,48.31,70,46.42,57.05,75.5,61,57.14,56.85,48.2,80,64.89,46.5,50.04,61,59.38
,Tomato,49.23,127,20,40,35.33,73,64.69,53,60,43.5,45,40.5,40,73.5,58.82,56,55.56,34.27,80,45.05,43.74,52.75,99.17,47.29,54.08,54.8,80,38.28,36,46.05,45,58.85
