Date 25/09/2025,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.07,64,28,40,53.5,47.52,42.5,39.08,37.71,42,38.14,39,49.67,55.5,34.83,40.33,38.42,48,38.95,47.88,49.29,38.84,45.68,48.5,36.22,51,43.13,39.32,48,40.07,43.65,46.5,55.51,54.6,39.25,39.19,41,47.26
Unit:(Rs./Kg.),Wheat,31.71,53,23,28,,42.28,45,36.8,28.56,34,33.86,32,39.67,48,33.67,29,30,36.33,32.61,41.59,46.46,29.1,38.63,48.5,41.86,40.29,45.25,38,50,28.33,29.96,38.67,46.61,40.1,,27.86,30.75,31.7
,Atta (Wheat),37.02,70,28,35,59.5,43.88,44.75,40.08,34.44,39,39.71,35,44.33,49,35.5,36.33,34,41.83,37.32,43.81,47.93,34.48,45,45.63,40.78,47.78,52.94,43.4,64,33.27,34.13,40.83,56.97,44,41.75,33.36,36.25,39.96
,Gram Dal,87.01,136,70,87.5,100.5,81.8,95.25,87.42,81.74,87,90.14,83,92.67,99,90.67,89,84.42,93.5,84.56,85.13,104.21,82.22,89.05,94.4,97.67,102,100.67,83.16,92,85.73,86.74,98.33,90.89,85.7,85.75,82.4,92.5,89.39
,Tur/Arhar Dal,115.54,172,88,110,111.5,101.4,137.5,117.88,112.79,116,116.57,117,119.33,120,113.5,124.67,115.17,141.8,110,106.19,125.29,108.86,116.63,135.71,140.8,154.57,150.3,104.6,118,121.67,124,,114.37,116.7,113,110.45,130.25,123.91
,Urad Dal,113.78,170,81,110,124,101.92,130,102.68,112.32,114,105.57,127,124.33,135,114.33,110.67,118.08,124,110.32,115,125.69,107.98,117.74,130.2,130,140,130.88,104.32,118,125.87,113.86,,115.37,119.6,115.75,112.05,116.5,117.22
,Moong Dal,110.55,150,81,110,121,105.84,119.25,109.62,107.03,110,106.29,117,119,125,100.08,113.33,111.33,119.83,108.68,109.41,127.71,103.66,114.05,131.88,119.78,131.89,122.5,102.36,115,113.07,102.95,122.83,115.23,113.4,104.25,105.79,118.25,115.61
,Masoor Dal,89.5,140,70,90,99,86.48,94.5,91.65,80.5,89,88.29,87,98.33,99,91.33,92.67,86.17,103,83.11,89.16,98.93,84.6,92.74,102.63,87.89,97.22,94.69,80.48,100,94.4,88.09,95,89.9,88.3,122.25,85.16,93,108.74
,Sugar,46.45,60,40,45,57.5,45.24,54.25,48.77,45.91,46,43.71,45,45.33,46.5,44,46.67,48.08,52.17,47.32,44.69,46.36,44.9,44.84,56.25,50.33,52.67,50.94,46.92,45,46.13,43.78,52.5,46,41.6,51.75,44.84,45.33,47.74
,Milk @,59.15,85,40,60,74,59.68,75.5,72.92,56.71,59,58.43,57,67.67,59.5,65.08,66.33,54.33,54.33,59.61,52.88,54.57,56.24,60.53,74,75,81,73.73,54.68,51,61.4,53.73,67.5,44.2,59.4,76.5,57.84,62.67,59.65
,Groundnut Oil (Packed),187.92,254,148,165,234,169.56,176,190.6,192.38,211,191.83,203,185.67,224.5,166.18,202,218,,194.29,189.06,235.6,186.08,185.89,171,,254,209,178,186,217.38,193.59,,205.46,172.5,,191.9,203.67,194.33
,Mustard Oil (Packed),187.98,257,136,192,212.5,192.25,199.5,195.62,186.3,205,167.43,197,215.67,209,171.33,172,203.17,203.83,188.26,186.74,220.5,177.42,197.61,198.38,166,219.44,165,198.64,209,190.93,168.91,216.33,207.07,181.7,196.25,178.96,190,189.43
,Vanaspati (Packed),156.6,264,103,148,213,142.57,153.67,157.59,155.53,171,146.43,167,184.5,203.5,139.08,164.33,169.83,177.83,158.16,142.31,193.43,148.48,161.95,264,183,205,200.25,152.04,187,167.07,143.81,151.83,170.91,146.2,172,150.4,160.67,153.78
,Soya Oil (Packed),146.5,198,113,154,,154.83,160,152.31,153.48,164,148.86,163,164.33,168.5,145.25,138.33,147.91,166.5,159.74,152.07,144,138.6,147.47,179,154.56,143.78,166.75,134,,146.4,145.76,159.17,,147.38,163,144.96,171,143.57
,Sunflower Oil (Packed),162.59,253,123,165,167.5,161.72,182.25,172.19,170.15,181,158.14,176,176,168,156.75,165,166,177.25,172.47,157.19,171.71,159.39,165.26,199.75,189,197.75,205.33,162.6,170,174.31,152.65,188.25,164.29,160.7,199,159.82,168.33,168.39
,Palm Oil (Packed),132.49,190,100,143,154,126.12,,141.88,130.71,145,142.33,154,128.67,129.5,139.83,127.33,108,128.67,134.11,131.19,147.79,122.19,138,155,148,128.6,150.5,130.28,143,132.33,139.17,,138,131.5,147.5,126.47,136,126.84
