Date 27/10/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Uttar Pradesh,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.16,66,30,40,55.5,46,43.33,37.94,44,39.5,40,47.67,41.33,37,41,40.33,39.11,53.86,47,38.09,48.32,38,50,39.06,39.85,38.5,50,57.15,55,39.62,42.69
Unit:(Rs./Kg.),Wheat,32.02,52,24,28,40,45,40,29.81,31,34.67,30,38.67,34.67,29,24,33,32.78,42.46,,29.77,39.89,40.67,41.67,37.54,27,29.5,40,44.5,39,28.18,29.83
,Atta (Wheat),37.01,65,28,35,40.5,43.67,42,35.06,36,38.33,34,44.67,37.67,32.5,35.55,40.33,36.11,44.11,,34.18,44.37,39.67,50.5,41.19,32.15,33.5,38,54.8,45,33.67,38.92
,Gram Dal,94.85,145,73,100,105,103.33,102,90.25,90,97,100,99.33,88,92,99.18,98,94.38,95.43,145,92.62,99.58,107,108.33,97.88,99.31,93.5,95,102.9,92,89.31,87
,Tur/Arhar Dal,160.37,191,124,160,170,180,170.67,153.81,165,162,163,161.67,169.67,163,167.82,156,161.67,160.07,,157.43,166.21,178,152.33,157.59,166.38,165,170,168.95,160.5,154.11,162.46
,Urad Dal,125.01,155,88,120,128,126.67,117.33,123.94,125,118.33,143,142.33,130.67,113.5,133.73,128.33,120.78,131.43,152,118.33,130.26,133,134,119.41,131.15,123.75,130,137.25,124.5,120.3,122.31
,Moong Dal,115.11,140,87,115,120,116.67,117,111.5,116,115.5,123,125.67,119.67,113.5,115.55,125.33,111.89,119.07,130,109,120.21,122,140,114.35,117.77,112.25,130,120.55,112.5,111.8,115.69
,Masoor Dal,89.22,140,75,90,91.5,103.33,91.33,80.13,90,89.83,90,92.33,88.33,80,88.09,112.33,83.78,92.82,140,86.69,93.53,87,100,83,92.77,81.5,90,91.33,90,87.79,94.69
,Sugar,44.4,60,39,44,43,55,47.67,44.81,45,43.83,45,44,42.33,44.5,46.91,50,45.63,42.75,50,42.84,43.74,48.67,52.5,45,44.85,41.5,50,44.4,41.5,43.9,46
,Milk @,57.23,82,40,60,55,75.67,74,55.94,60,58.17,56,65.67,62,57.5,53.18,59,59.29,51.04,60,55.34,59.21,74.33,78.5,53.6,60,52.5,60,44.75,55,61.74,56.69
,Groundnut Oil (Packed),194.13,257,138,198,177.5,169,,192.86,183,199.4,216,218.33,189,221,225.75,,203.67,180.61,,192.64,196.68,,,201.2,231.73,172.75,,217.25,164.5,199.16,203.57
,Mustard Oil (Packed),167.52,209,130,165,178,176.67,179,157.8,139,160.5,178,189,179.67,161,184.73,195,170.78,169.07,185,163,181.28,156,172.5,177.18,168.85,145.25,160,184.07,170,160.87,166.69
,Vanaspati (Packed),139.43,178,97,159,137,133.5,143,134.87,124,128.83,159,159.67,137,136,155.27,153,138.67,125.21,,136.02,146.05,152,152,137.35,157.54,124.5,121,151.6,129,138.67,137.77
,Soya Oil (Packed),139.32,179,92,137,133,147.67,147.67,137.56,119,135.17,156,151.67,138.67,137.5,145.11,146.5,143.56,135.25,,138.09,144.11,144.33,140,145.5,147.23,113,140,,108,138.64,133
,Sunflower Oil (Packed),143.21,211,105,148,148,161.5,158,154.4,120,143.33,156,160.67,142.67,146.5,149.75,160,156.63,137.75,,144.52,149.79,,132,141.65,155.45,134,,147.05,138,146.48,142.08
,Palm Oil (Packed),123.81,166,91,137,131,,147,122.91,100,126.6,135,122.33,141.33,116,114.5,130,121.33,120.89,,116,133.38,,114.67,123.81,132.6,106,,131.1,124,119.32,118.33
,Gur,54.16,120,39,55,58.5,90,58,48.31,55,50,63,67,54,52.5,50.27,58.5,53.88,51.64,80,50.66,55.32,78.5,105.75,53.53,52.54,44.5,60,59.1,53,51.75,55.62
,Tea Loose,259.81,520,30,300,288.5,340,281.67,274,269,212.67,245,262.33,210.67,236.5,270.18,291.5,260.75,243.68,30,229.5,307,306.67,490.75,279.64,268.77,312.75,460,285.56,287.5,236.36,257.62
,Salt Pack (Iodised),22.84,30,10,27,20.5,20,14.33,21.38,28,19.5,27,27.33,19.67,23,27.91,28,25.13,18.21,28,16.2,24.16,25,30,26.8,26.23,21,20,25.35,20.5,26.31,22.54
,Potato,35.84,60,24,30,40,39,34,32.06,39,40,33,36,38.33,32,38,35,33,40.18,43,34.04,40.95,37.67,45.25,34.19,30.92,37.5,40,49.1,38.5,31.31,29.85
,Onion,52.62,80,30,60,49.5,59.33,64.67,50.69,52,57.5,57,59.33,49.33,58.5,62.36,69.5,54,46.57,70,48.8,50.84,69.67,60.25,56.44,57.77,47,60,57.25,52,49.36,55.92
,Tomato,61.68,120,27,60,39.5,79.67,54.33,60.69,60,67.83,70,57.67,45.33,91.5,76.36,92.5,72.33,46.29,80,58.13,58.95,57,98.25,64.88,73.77,64.75,70,51.7,53,62.11,71
