Date 27/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.6,68,27,40,51.5,52.8,44.5,41.65,37.94,44,38.25,38,52,54,38.75,39.5,41.25,46.17,39.12,54,49.57,48,38.31,47.63,37.89,50,43.47,39.43,65,40.47,41.45,49,57.94,55.8,38.25,39.41,38,44.04
Unit:(Rs./Kg.),Wheat,31.98,54,22,30,,41.4,45,35.33,29.17,31,34.75,30,39.5,51,34.75,29.25,24,32.75,32.06,42.88,47,,30.02,39.95,43.63,42.13,42.86,38.71,48,29.4,29.52,38.5,46.17,40.5,,28.81,29,30.7
,Atta (Wheat),37.1,70,29,35,67.5,44.6,43,40,35.06,36,39.5,36,47,47,36,34.25,36.42,40.17,36.71,44.69,46.79,42,34.63,44.47,42.89,48.27,49.13,42.73,47,34.87,33.66,39.33,55,44.1,42.25,34.15,35,39.83
,Gram Dal,94.88,142,70,90,115,98.6,106.75,95.83,89.53,90,98.63,95,103,112,93.88,92.25,96.5,100.33,91.56,95.41,114,131,92.49,99.26,110,101.38,98.75,97,102,96.27,89.03,100.83,102.09,89.8,99.33,88.43,88.67,91.3
,Tur/Arhar Dal,160.76,193,117,160,170.5,169.2,174.5,165.78,155,165,161.5,150,168.5,167,164.63,166.75,162.58,164.17,158.18,156.84,174.15,173,155.9,166.89,179,157.29,164.4,157.43,185,167,162,170,170.81,162.8,159.67,152.12,164,164.74
,Urad Dal,124.52,173,85,122.5,151.5,131.6,129.25,111.14,121.31,125,119.5,138,150,155,122.88,118.25,132.92,130,122.18,130.84,143.08,141,118.06,129.42,133,135.29,118.89,119.18,151,131.33,119.76,126.67,136.47,128.6,128.33,119.01,121,125.43
,Moong Dal,115.59,160,87,120,125,122.2,118,115.52,112.53,116,116,118,125,125,110.25,117.25,115.83,123,113.53,117.97,132.31,130,109,120.95,124,140,121.25,114.65,113,115.8,106.76,126.67,120.44,116,113.75,109.85,115.33,118.48
,Masoor Dal,90.31,160,73,90,100,94.2,100.75,91.57,80.69,90,93.25,90,95.5,98,86.75,86,87.5,105.33,82.41,93.69,102.31,130,86.27,94.32,87.89,98.45,97.81,83.17,98,93.53,86.79,94.17,92.21,92.5,105.5,86.8,104.33,98.17
,Sugar,44.89,60,35,44.5,53,44,53.75,47.61,44.78,45,43.63,45,43,44,43,44.5,47.25,49.33,45.24,42.84,43.71,55,42.54,43.42,49,52.18,50.27,44.78,49,44.53,42.75,51.5,44.09,40.2,49.75,43.81,44.67,45.96
,Milk @,58.82,85,39,60,73.5,56.75,75.25,73.05,56.33,60,61.5,56,66,62,63.25,58.25,53,54.5,59.13,51.28,54.57,60,55.67,59.26,73.44,79,73.71,53.5,48,59.86,52.59,64.17,47.59,58,74.25,62.01,62.67,56.13
,Groundnut Oil (Packed),194.88,288,132,187,228,176,169,215,195.81,183,203.14,216,214.5,236,189.38,211.5,225.75,,197.69,186.77,229.33,,194.82,196.11,,153,200,206,247,232.77,186.3,,212.72,168.5,,198.86,178.33,213
,Mustard Oil (Packed),168.72,221,124,173,180,176.75,175.5,171.39,165.53,139,167.63,178,191.5,181,175.38,155.25,188.17,191.67,170.24,172.32,200.8,185,164.69,182.5,165.22,181.89,155.56,179.83,137,170.67,152.43,188.67,184.68,163.6,179.25,161.79,159.67,165.52
,Vanaspati (Packed),144.32,209,92,143,167,133.75,133.67,145.06,143.17,124,133.75,167,171.5,170,140.5,138.5,162.58,156.33,148.06,131.16,175.08,172,140.04,149,159.33,136.71,156,149.24,146,167.07,130.07,140.83,157.66,114,139,140.68,153.33,139.59
,Soya Oil (Packed),143.08,198,94,154,,143.5,144.5,145.87,146.17,119,138.88,161,151.5,172,143.25,139,148.82,152.33,147.88,139.22,146,192,142.76,150.26,152.11,139,159.56,150.5,,158.27,131.48,151.5,,116.25,152.75,140.87,145.33,137.22
,Sunflower Oil (Packed),151.51,253,108,159,136.5,157.25,169,149.83,158.23,120,144.25,163,162,161,144.13,146.5,151.75,163.33,160.47,147.9,163,,148.35,155.68,253,148.25,171.5,152.48,135,161.23,141.42,166.5,155.84,139.2,175,148.51,155.67,147.52
,Palm Oil (Packed),131.12,166,91,144,120.5,137.5,,123.07,124.66,100,127,141,127,150,138.14,117.25,114.5,133,124.88,128.97,149.55,,120.52,139.63,100,120.57,155.5,136.84,121,139.83,113.88,,141.25,124.6,134.33,121.33,149,123.5
,Gur,55.18,130,35,50,73.5,59.25,83,62.26,47.97,55,53.38,60,65,60,55.5,53.5,50,55,50.59,52.25,62.15,70,49.83,54.79,78.5,106.8,77,53.22,58,51.4,45.11,61,57.31,53.1,73,51.61,57.33,53.83
,Tea Loose,270.12,520,154,200,321,298.5,355,242.22,272.51,269,221.88,245,300,330,209.38,238.75,271.5,307.17,248,242.81,233.64,480,229.04,308.42,360.33,491.45,313.07,277.37,335,275.27,295.54,378.33,284.44,284.6,232,237.43,276.33,272.26
,Salt Pack (Iodised),22.01,31,9,27,19.5,18.5,19.5,13.35,23.31,28,21.13,27,28,26,18.75,25,27.92,27.83,24.88,17.91,15,28,16.31,24.16,19,29.82,18.38,26.57,26,26.67,19.65,21.33,24.68,19.7,10.5,25.81,28.67,23.74
,Potato,37.62,70,22,40,65,42.25,39.25,33.96,32.83,39,38.75,37,38,47,37.88,33.25,38.17,38,35.18,40.44,51.54,42.5,33.31,42.26,41.44,49.73,43.27,34.57,48,33.73,37.86,43.5,51.38,36.4,38.25,31.41,41.33,32.87
,Onion,55.12,100,24,50,100,53.75,64,59.48,51.61,52,56.63,52,51,65,45.25,53.5,59.08,65.33,57.47,46.63,73.58,70,44.4,56.58,73.11,66,77.33,56.65,57,52.13,47.54,73.33,66.91,46.1,65.5,47.25,57.33,59.13
,Tomato,51.48,127,19,50,90,40.25,73,65.17,54.19,60,38.63,50,36,43,45.25,63,59.58,56.17,55.76,35,40.38,80,44.98,44.37,57.22,95.64,74.33,50.96,31,52,52.46,68.33,42.06,41.8,66.5,46.41,44.33,61.3
