Date 30/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.92,64,,
Unit:(Rs./Kg.),Wheat,31.89,53,,
,Atta (Wheat),37.25,71,,
,Gram Dal,86.78,122,,
,Tur/Arhar Dal,114.87,172,,
,Urad Dal,114.48,170,,
,Moong Dal,110.63,150,,
,Masoor Dal,89.35,140,,
,Sugar,46.54,60,,
,Milk @,59.42,85,,
,Groundnut Oil (Packed),186.7,279,,
,Mustard Oil (Packed),188.24,257,,
,Vanaspati (Packed),156.41,264,,
,Soya Oil (Packed),146.38,192,,
,Sunflower Oil (Packed),162.34,253,,
,Palm Oil (Packed),132.66,190,,
,Gur,57.6,140,,
,Tea Loose,269.82,520,,
,Salt Pack (Iodised),21.54,35,,
,Potato,25.21,60,,
,Onion,27.08,60,,
,Tomato,38.9,120,,
