Date 30/10/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.42,68,29,40,51.67,53,44.5,41.19,38.08,44,37.88,40,47.67,54.5,37.86,38.5,41.08,44.5,39.11,53.84,49,47.5,38.17,48.47,50,37.3,49.7,43,39.33,39.67,41.08,49.33,57.77,56.3,37.75,39.52,38,44.05
Unit:(Rs./Kg.),Wheat,31.59,54,22,28,,42,45,34.5,28.86,31,33.25,30,39,50,33.71,29.5,24,32.4,31.33,42.53,46.91,,29.66,40.16,48,42.78,42.13,42.25,37.65,26.87,29.04,38.83,46.1,40.5,,28.26,28,30.78
,Atta (Wheat),36.69,70,29,35,69,44.5,43,39.43,34.69,36,37.75,34,44.67,45,35.43,34,35.58,38.67,36.06,44.5,45.92,44,34.28,44.42,49,41.9,48.1,48.38,42.26,32.53,33.38,39.33,54.9,44.4,40.25,33.67,35.25,38.86
,Gram Dal,94.93,145,70,90,110.33,101.25,103,96.52,87.97,90,95.63,100,99.33,106.5,93.43,91.75,99,99.33,92.94,95.28,109.25,132.5,92.71,99.58,117,110.17,98.43,96.5,97.09,100.07,89.88,97,102.39,91.4,99.67,89,87.25,90.5
,Tur/Arhar Dal,161.95,194,124,160,176,170.5,179.5,167.52,155.47,165,157.88,163,161.67,166.5,167.14,166.5,167.25,167.67,160.44,158.56,175.27,186,157.74,166.32,178,178.6,156.83,165.9,156.38,168.6,164.69,170,170.47,163.4,164,154.21,164,163.95
,Urad Dal,125.03,170,85,120,162.33,130.75,128.25,111.2,120.61,125,116.25,143,142.33,155,124.29,118,132.67,129.17,122.22,130.97,142.18,141,118.48,130.11,135,133,135.29,121.11,118.52,131.93,120.27,124.33,138.58,128.5,129,120.55,120.25,125.14
,Moong Dal,116.22,160,87,120,137.33,119.75,118.25,116.52,113.17,116,114.38,123,125.33,131.5,112.57,116.75,115.42,122.17,113.5,118.5,131.17,126.5,109.73,120.05,128,122.7,136.67,121.31,113.71,117.73,107.85,126.67,121.23,115.8,112,112.23,116.25,118.36
,Masoor Dal,90.19,160,73,90,103.67,92.25,101.25,91.33,80.64,90,90.38,90,92.33,100.5,84.14,86,87.42,106.67,82.17,93.31,101.33,130,86.67,93.37,92,87.5,98.3,97.63,83.04,93.33,86.69,95.83,92,93.4,105.75,87.86,96,96.95
,Sugar,45.02,60,35,44,54,43.75,53.75,47.43,44.67,45,43.5,45,44,44,43,44.75,47,49.33,45.53,42.78,44.08,55,42.89,43.79,54,49.4,51.9,50.44,44.58,44.67,42.85,51.5,44.23,40.3,49.5,44.03,44.25,46.05
,Milk @,58.78,83,40,60,73.67,56.75,75.25,72.84,56.14,60,59.13,56,65.67,59,63,58.25,52.92,55.33,59.44,51.31,54.23,60,55.6,59.21,,73.6,79.4,73.21,53.18,60,52.04,64.17,47.55,58.1,74.25,61.95,62,55.55
,Groundnut Oil (Packed),194.46,275,132,183,237,178.5,169,211,190.4,183,195.43,216,217.33,241,187.14,211.5,225.75,,191.86,182.16,241.5,,193.17,197.11,,,152,200,191.6,231.77,187.36,,214.45,168.6,,198.97,167.5,207.33
