Date 31/10/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.25,66,29,40,52,53,44.5,42.06,38,44,36.6,40,47.67,42,43,42.09,46,38.67,53.79,37.97,48.47,50,37.2,48.57,43.42,39.14,65,39.71,39.71,50.25,56.69,55,37.75,39.46,43.18
Unit:(Rs./Kg.),Wheat,32.01,58,24,28,,42.67,45,38.5,29.29,31,32,30,39,35.5,32,24,33.4,31.5,42.36,29.87,40.16,48,43,43,41.6,37.17,48,26.86,29.57,39.5,45.91,39,,28.09,30.38
,Atta (Wheat),37.1,70,28,35,67,46,43,39.76,35.21,36,36,35,44.67,37.5,33,36.18,38.6,35.83,44.21,34.2,44.42,49,41.9,45.71,50.83,41.86,45,32.5,33,40.75,54.38,45,40,33.7,39
,Gram Dal,95.34,120,70,100,105,106.67,103,97.18,90.14,90,96.2,100,99.33,87.5,95,99.09,94.4,92.36,96.04,93.63,99.63,117,110.17,97.8,99.78,100.29,93,100.29,88,99.25,102.69,92,99.67,89.89,88.76
,Tur/Arhar Dal,162.24,191,131,160,175,170.67,179.5,171.24,157.57,165,156.6,160,161.67,170,175,167.45,174,160.92,159.82,157.03,166.47,178,178.6,158.6,161,156.57,182,168.21,167.43,,171.46,160.5,164,154.13,163.53
,Urad Dal,125.51,170,91,125,170,132.33,128.25,112.13,124.57,125,116,140,142.33,131.5,125,132.82,130.6,122.17,131.04,119.23,130.05,135,133,139.4,121,117,149,132.57,121.57,133,138.08,124.5,129,120.59,124.82
,Moong Dal,116.05,145,90,120,145,119.67,118.25,117.24,113.14,116,113,120,125.33,119,125,114.91,121.2,112.08,118.68,109.37,120.11,128,122.7,134,119,112.43,115,117.71,108.43,127.5,121.77,112.5,111.75,112.18,115.94
,Masoor Dal,90.44,118,74,90,110,91.67,101.25,92.88,81.21,90,89.2,90,92.33,89,96,87.27,102.2,82.67,92.75,87.03,93.42,92,87.7,97.57,99.17,81.71,93,93.07,84.86,97.5,89.4,91,105.5,87.84,94.47
,Sugar,45.33,60,39,45,58,44,53.75,47.38,45,45,43.8,45,44,42.5,45,47.18,50.4,45.64,42.75,42.67,43.79,54,49.4,50.43,50,45.29,48,44.86,41.86,52.25,44.23,39,49.5,44.13,46.29
,Milk @,59.73,83,39,60,75,59.33,75.25,72.81,56.43,60,57,56,65.67,61.5,56,54.09,51,59.8,51.18,55.47,59.21,,73.6,80.14,73.44,53.57,48,60,50,65,48,52,74.25,61.63,55.65
,Groundnut Oil (Packed),193.42,275,141,183,262,180,169,204,192.17,183,195,215,217.33,185.5,215,225.75,,189.44,182.04,191.9,197.11,,,172,,194,233,233,177.57,,216.31,168,,200.66,203.63
,Mustard Oil (Packed),167,209,124,165,170,169.67,176.67,168.18,157.85,139,154.4,183,190.33,177.5,162,184.82,175.75,169.5,171.57,161.67,181.78,181,161.1,177.6,152.5,181.86,148,169.29,141.43,194.5,189.56,171.5,177.25,161.77,166.76
